PPID,EFFDT,EXPDT,FEATURECD,QSECT,CONV,PSECTPPID,PSECT,PTWPPPID,PTWP,PRGE,PMER
105817255,20000916,,OQSECPPID,NE,100,104145675,14,103005675,5,8,3
105817252,20000916,,OQSECPPID,SE,300,104145675,14,103005675,5,8,3
105817253,20000916,,OQSECPPID,SW,400,104145675,14,103005675,5,8,3
105817254,20000916,,OQSECPPID,NW,200,104145675,14,103005675,5,8,3
105817292,20000916,,OQSECPPID,SE,300,104245675,24,103005675,5,8,3
105817294,20000916,,OQSECPPID,NW,200,104245675,24,103005675,5,8,3
105817295,20000916,,OQSECPPID,NE,100,104245675,24,103005675,5,8,3
105817293,20000916,,OQSECPPID,SW,400,104245675,24,103005675,5,8,3
105817289,20000916,,OQSECPPID,SW,400,104235675,23,103005675,5,8,3
105817290,20000916,,OQSECPPID,NW,200,104235675,23,103005675,5,8,3
105817291,20000916,,OQSECPPID,NE,100,104235675,23,103005675,5,8,3
105817288,20000916,,OQSECPPID,SE,300,104235675,23,103005675,5,8,3
105817287,20000916,,OQSECPPID,NE,100,104225675,22,103005675,5,8,3
105817286,20000916,,OQSECPPID,NW,200,104225675,22,103005675,5,8,3
105817284,20000916,,OQSECPPID,SE,300,104225675,22,103005675,5,8,3
105817285,20000916,,OQSECPPID,SW,400,104225675,22,103005675,5,8,3
105817282,20000916,,OQSECPPID,NW,200,104215675,21,103005675,5,8,3
105817283,20000916,,OQSECPPID,NE,100,104215675,21,103005675,5,8,3
105817280,20000916,,OQSECPPID,SE,300,104215675,21,103005675,5,8,3
105817281,20000916,,OQSECPPID,SW,400,104215675,21,103005675,5,8,3
105817301,20000916,,OQSECPPID,SW,400,104265675,26,103005675,5,8,3
105817303,20000916,,OQSECPPID,NE,100,104265675,26,103005675,5,8,3
105817302,20000916,,OQSECPPID,NW,200,104265675,26,103005675,5,8,3
105817300,20000916,,OQSECPPID,SE,300,104265675,26,103005675,5,8,3
105817338,20000916,,OQSECPPID,NW,200,104355675,35,103005675,5,8,3
105817336,20000916,,OQSECPPID,SE,300,104355675,35,103005675,5,8,3
105817339,20000916,,OQSECPPID,NE,100,104355675,35,103005675,5,8,3
105817337,20000916,,OQSECPPID,SW,400,104355675,35,103005675,5,8,3
105817057,20000916,,OQSECPPID,SW,400,104015674,1,103005674,4,8,3
105817059,20000916,,OQSECPPID,NE,100,104015674,1,103005674,4,8,3
105817058,20000916,,OQSECPPID,NW,200,104015674,1,103005674,4,8,3
105817056,20000916,,OQSECPPID,SE,300,104015674,1,103005674,4,8,3
105817060,20000916,,OQSECPPID,SE,300,104025674,2,103005674,4,8,3
105817063,20000916,,OQSECPPID,NE,100,104025674,2,103005674,4,8,3
105817061,20000916,,OQSECPPID,SW,400,104025674,2,103005674,4,8,3
105817062,20000916,,OQSECPPID,NW,200,104025674,2,103005674,4,8,3
105817066,20000916,,OQSECPPID,NW,200,104035674,3,103005674,4,8,3
105817064,20000916,,OQSECPPID,SE,300,104035674,3,103005674,4,8,3
105817067,20000916,,OQSECPPID,NE,100,104035674,3,103005674,4,8,3
105817065,20000916,,OQSECPPID,SW,400,104035674,3,103005674,4,8,3
105817102,20000916,,OQSECPPID,NW,200,104125674,12,103005674,4,8,3
105817100,20000916,,OQSECPPID,SE,300,104125674,12,103005674,4,8,3
105817103,20000916,,OQSECPPID,NE,100,104125674,12,103005674,4,8,3
105817101,20000916,,OQSECPPID,SW,400,104125674,12,103005674,4,8,3
105817096,20000916,,OQSECPPID,SE,300,104115674,11,103005674,4,8,3
105817097,20000916,,OQSECPPID,SW,400,104115674,11,103005674,4,8,3
105817099,20000916,,OQSECPPID,NE,100,104115674,11,103005674,4,8,3
105817098,20000916,,OQSECPPID,NW,200,104115674,11,103005674,4,8,3
